Student_ID,Age,Gender,Study_Hours_per_Week,Preferred_Learning_Style,Online_Courses_Completed,Participation_in_Discussions,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate (%),Use_of_Educational_Tech,Self_Reported_Stress_Level,Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night,Final_Grade
S00001,18,Female,48,Kinesthetic,14,Yes,100,69,66,Yes,High,9,8,C
S00002,29,Female,30,Reading/Writing,20,No,71,40,57,Yes,Medium,28,8,D
S00003,20,Female,47,Kinesthetic,11,No,60,43,79,Yes,Low,13,7,D
S00004,23,Female,13,Auditory,0,Yes,63,70,60,Yes,Low,24,10,B
S00005,19,Female,24,Auditory,19,Yes,59,63,93,Yes,Medium,26,8,C
S00006,28,Female,26,Kinesthetic,5,Yes,63,54,80,No,High,25,8,D
S00007,19,Female,49,Reading/Writing,13,Yes,91,44,66,Yes,Low,30,10,D
S00008,27,Male,14,Reading/Writing,5,Yes,88,56,76,Yes,Low,4,6,C
S00009,22,Male,45,Visual,16,No,52,78,70,No,Low,26,9,B
S00010,28,Other,35,Auditory,7,No,100,55,100,No,Medium,5,9,C
S00011,23,Male,40,Kinesthetic,20,No,74,44,93,No,Medium,15,10,D
S00012,23,Male,14,Visual,18,Yes,77,56,74,No,High,9,6,C
S00013,23,Female,24,Visual,4,No,67,73,93,Yes,Medium,28,7,B
S00014,27,Male,44,Reading/Writing,20,No,80,60,51,Yes,Low,27,6,C
S00015,22,Other,10,Reading/Writing,17,Yes,67,71,55,Yes,High,28,8,B
S00016,25,Female,28,Reading/Writing,13,Yes,85,90,76,Yes,Medium,5,8,A
S00017,19,Male,11,Visual,20,Yes,81,93,93,No,Medium,6,9,A
S00018,18,Male,8,Kinesthetic,9,Yes,52,97,69,No,Low,1,5,A
S00019,22,Male,11,Kinesthetic,11,No,50,74,96,Yes,Medium,13,7,B
S00020,19,Female,28,Auditory,19,No,50,64,80,Yes,Medium,20,8,C
S00021,19,Male,30,Reading/Writing,0,Yes,89,97,90,Yes,Low,26,10,A
S00022,20,Male,48,Visual,16,Yes,81,76,82,Yes,Medium,29,9,B
S00023,18,Female,14,Reading/Writing,4,Yes,90,75,73,Yes,High,12,9,B
S00024,25,Male,41,Reading/Writing,6,Yes,68,93,100,No,Medium,23,7,A
S00025,25,Female,36,Visual,3,Yes,96,83,66,Yes,Low,8,7,B
S00026,22,Female,38,Reading/Writing,7,Yes,91,61,50,Yes,Low,19,10,C
S00027,19,Male,48,Kinesthetic,1,Yes,86,52,86,Yes,Low,30,9,D
S00028,19,Male,40,Auditory,16,Yes,100,63,74,No,Medium,29,7,C
S00029,24,Female,39,Kinesthetic,9,No,79,90,91,Yes,Medium,21,6,A
S00030,29,Male,39,Visual,5,No,76,41,79,No,Low,20,5,D
S00031,20,Male,23,Kinesthetic,3,Yes,59,57,81,Yes,Medium,9,5,C
S00032,22,Female,6,Auditory,18,No,85,80,76,No,Medium,16,7,B
S00033,23,Male,25,Auditory,12,Yes,55,63,85,Yes,High,14,4,C
